Population total by sex (UN Population Division's annual estimates and projections) [code 13684],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country or Area Code, Country or Area Name, Population projections variants, Sex,2008, Footnotes,2010, Footnotes,2012, Footnotes,2014, Footnotes,2016, Footnotes,2018, Footnotes,2020, Footnotes,2022, Footnotes,2024, Footnotes,2026, Footnotes,2028, Footnotes,2030, Footnotes,2032, Footnotes,2034, Footnotes,2036, Footnotes,2038, Footnotes,2040, Footnotes,2042, Footnotes,2044, Footnotes,2046, Footnotes,2048, Footnotes,2050, Footnotes, 
4,Afghanistan,Medium variant projection,Men,14618200,,15736912,,16830059,,17905992,,18988538,,20083015,,21217166,,22409033,,23650359,,24924664,,26227784,,27553178,,28894544,,30247048,,31606171,,32967994,,34330597,,35691661,,37047439,,38394080,,39728670,,41049492,,
4,Afghanistan,Medium variant projection,Women,13607446,,14652273,,15673730,,16679553,,17691736,,18715162,,19775679,,20890100,,22050643,,23241833,,24459854,,25698861,,26953203,,28218490,,29490632,,30766209,,32043684,,33321202,,34595644,,35863847,,37123564,,38373698,,
4,Afghanistan,Medium variant projection,Both sexes,28225646,,30389185,,32503789,,34585545,,36680274,,38798177,,40992845,,43299133,,45701002,,48166497,,50687638,,53252039,,55847747,,58465538,,61096803,,63734203,,66374281,,69012863,,71643083,,74257927,,76852234,,79423190,,
4,Afghanistan,High variant projection,Men,14665312,,15835712,,16993607,,18149128,,19328097,,20535124,,21791679,,23112649,,24492885,,25920637,,27394444,,28912768,,30473205,,32073520,,33711770,,35385183,,37091061,,38826194,,40586570,,42367697,,44164865,,45973200,,
4,Afghanistan,High variant projection,Women,13651960,,14745508,,15827849,,16908369,,18010927,,19139710,,20314600,,21549410,,22839320,,24173374,,25550311,,26969030,,28427570,,29923925,,31456336,,33022445,,34619979,,36246259,,37897966,,39571410,,41262740,,42967997,,
4,Afghanistan,High variant projection,Both sexes,28317272,,30581220,,32821456,,35057497,,37339024,,39674834,,42106279,,44662059,,47332205,,50094011,,52944755,,55881798,,58900775,,61997445,,65168106,,68407628,,71711040,,75072453,,78484536,,81939107,,85427605,,88941197,,
4,Afghanistan,Low variant projection,Men,14571089,,15638114,,16666521,,17662869,,18648972,,19630916,,20642652,,21705486,,22808380,,23930514,,25065565,,26202951,,27333273,,28449807,,29546263,,30618074,,31664276,,32683640,,33673035,,34629564,,35552249,,36442442,,
4,Afghanistan,Low variant projection,Women,13562932,,14559039,,15519621,,16450748,,17372539,,18290628,,19236760,,20230856,,21262479,,22312005,,23373573,,24437494,,25495178,,26540510,,27567823,,28573094,,29555684,,30514743,,31447685,,32352175,,33227700,,34075947,,
4,Afghanistan,Low variant projection,Both sexes,28134021,,30197153,,32186142,,34113617,,36021511,,37921544,,39879412,,41936342,,44070859,,46242519,,48439138,,50640445,,52828451,,54990317,,57114086,,59191168,,61219960,,63198383,,65120720,,66981739,,68779949,,70518389,,
4,Afghanistan,Constant fertility scenario,Men,14679335,,15872106,,17068554,,18282460,,19542713,,20862395,,22276295,,23812823,,25478722,,27275025,,29216542,,31320263,,33603665,,36085744,,38787599,,41731138,,44938838,,48435186,,52247263,,56403942,,60935264,,65872279,,
4,Afghanistan,Constant fertility scenario,Women,13665205,,14779852,,15898510,,17033965,,18212908,,19447436,,20769902,,22206770,,23764281,,25443330,,27257865,,29224277,,31359287,,33680598,,36207770,,38961529,,41963118,,45235830,,48805653,,52700421,,56949144,,61581849,,
4,Afghanistan,Constant fertility scenario,Both sexes,28344540,,30651958,,32967064,,35316425,,37755621,,40309831,,43046197,,46019593,,49243003,,52718355,,56474407,,60544540,,64962952,,69766342,,74995369,,80692667,,86901956,,93671016,,101052916,,109104363,,117884408,,127454128,,
8,Albania,Medium variant projection,Men,1594748,,1610208,,1628070,,1646315,,1663055,,1677839,,1690746,,1701744,,1710641,,1717360,,1721957,,1724735,,1725923,,1725698,,1724299,,1721830,,1718276,,1713626,,1707914,,1701156,,1693296,,1684198,,
8,Albania,Medium variant projection,Women,1612891,,1634795,,1657627,,1680270,,1701657,,1721251,,1738956,,1754653,,1768071,,1778998,,1787449,,1793779,,1798231,,1800964,,1802209,,1802031,,1800353,,1797092,,1792217,,1785671,,1777307,,1766872,,
8,Albania,Medium variant projection,Both sexes,3207639,,3245003,,3285697,,3326585,,3364712,,3399090,,3429702,,3456397,,3478712,,3496358,,3509406,,3518514,,3524154,,3526662,,3526508,,3523861,,3518629,,3510718,,3500131,,3486827,,3470603,,3451070
8,Albania,High variant projection,Men,1602957,,1626967,,1654943,,1684792,,1714461,,1743134,,1769808,,1793824,,1815306,,1834779,,1852570,,1869675,,1886792,,1904286,,1922561,,1941654,,1961011,,1980147,,1998925,,2017186,,2034460,,2049901
8,Albania,High variant projection,Women,1620595,,1650519,,1682834,,1716351,,1749847,,1782445,,1813035,,1840915,,1866110,,1888979,,1909790,,1929546,,1948930,,1968274,,1987966,,2008010,,2027819,,2046872,,2064976,,2081912,,2097146,,2109763
8,Albania,High variant projection,Both sexes,3223552,,3277486,,3337777,,3401143,,3464308,,3525579,,3582843,,3634739,,3681416,,3723758,,3762360,,3799221,,3835722,,3872560,,3910527,,3949664,,3988830,,4027019,,4063901,,4099098,,4131606,,4159664
8,Albania,Low variant projection,Men,1586644,,1593663,,1601544,,1608301,,1612149,,1613019,,1612044,,1609851,,1606110,,1600384,,1592614,,1582722,,1570652,,1556402,,1540008,,1521545,,1501145,,1478970,,1455196,,1430032,,1403731,,1376595
8,Albania,Low variant projection,Women,1605287,,1619273,,1632747,,1644623,,1653935,,1660501,,1665212,,1668565,,1670156,,1669430,,1666294,,1660746,,1652766,,1642343,,1629519,,1614332,,1596840,,1577123,,1555285,,1531446,,1505750,,1478354
8,Albania,Low variant projection,Both sexes,3191931,,3212936,,3234291,,3252924,,3266084,,3273520,,3277256,,3278416,,3276266,,3269814,,3258908,,3243468,,3223418,,3198745,,3169527,,3135877,,3097985,,3056093,,3010481,,2961478,,2909481,,2854949
8,Albania,Constant fertility scenario,Men,1599966,,1621374,,1646945,,1674339,,1701087,,1726453,,1750025,,1771457,,1790638,,1807734,,1822912,,1836771,,1849763,,1862226,,1874582,,1886975,,1899310,,1911466,,1923367,,1934876,,1945694,,1955349
8,Albania,Constant fertility scenario,Women,1617788,,1645271,,1675331,,1706549,,1737310,,1766811,,1794497,,1819958,,1842999,,1863640,,1882003,,1898716,,1914232,,1928861,,1943005,,1956768,,1969996,,1982504,,1994160,,2004761,,2013936,,2021118
8,Albania,Constant fertility scenario,Both sexes,3217754,,3266645,,3322276,,3380888,,3438397,,3493264,,3544522,,3591415,,3633637,,3671374,,3704915,,3735487,,3763995,,3791087,,3817587,,3843743,,3869306,,3893970,,3917527,,3939637,,3959630,,3976467
12,Algeria,Medium variant projection,Men,17351827,,17882126,,18420429,,18959841,,19490592,,20006775,,20503550,,20976940,,21420907,,21828535,,22199098,,22538315,,22850402,,23138290,,23406306,,23656733,,23893588,,24118521,,24328955,,24520354,,24688013,,24827483
12,Algeria,Medium variant projection,Women,17021445,,17540379,,18067925,,18597850,,19121304,,19632631,,20126108,,20597383,,21041730,,21454119,,21834237,,22187918,,22519360,,22831020,,23126376,,23407125,,23676024,,23933815,,24177834,,24403712,,24606708,,24782037
12,Algeria,Medium variant projection,Both sexes,34373272,,35422505,,36488354,,37557691,,38611896,,39639406,,40629658,,41574323,,42462637,,43282654,,44033335,,44726233,,45369762,,45969310,,46532682,,47063858,,47569612,,48052336,,48506789,,48924066,,49294721,,49609520
12,Algeria,High variant projection,Men,17441252,,18066772,,18720362,,19395110,,20080416,,20766220,,21435320,,22076076,,22683422,,23253568,,23787390,,24295274,,24785440,,25265249,,25744594,,26227924,,26720896,,27225213,,27736162,,28245469,,28743537,,29219997
12,Algeria,High variant projection,Women,17106936,,17716962,,18354870,,19014395,,19685875,,20359660,,21018141,,21649592,,22250232,,22818064,,23354293,,23869158,,24370652,,24865474,,25362443,,25865335,,26378501,,26902757,,27433408,,27962515,,28480681,,28977479
12,Algeria,High variant projection,Both sexes,34548188,,35783734,,37075232,,38409505,,39766291,,41125880,,42453461,,43725668,,44933654,,46071632,,47141683,,48164432,,49156092,,50130723,,51107037,,52093259,,53099397,,54127970,,55169570,,56207984,,57224218,,58197476
